1	9:20	9:30	Hyd	Sec	000000000000000000000000000000
2	12:00	1:00	Koti	Bdvl	000000000000000000000000000000
3	11:10	11:30	Tlchki	Rtbli	000000000000000000000000000000
4	3:50	4:15	Gndpt	Msbtnk	000000000000000000000000000000
5	4:20	4:40	Atpr	Gchbli	000000000000000000000000000000
6	5:45	6:00	Bnjhls	Pnj	000000000000000000000000000000
7	8:20	8:40	Htct	Mlkpt	000000000000000000000000000000
8	9:00	9:10	Jblhls	Abds	000000000000000000000000000000
9	9:30	9:45	Abds	Pnj	000000000000000000000000000000
10	10:00	10:15	Tlchki	Bdvl	000000000000000000000000000000
